DIVIPO,NIT,ORGANISMO,CATEGORIA,CIUDAD,DEPARTAMENTO,ESTADO
73443001,,MARIQUITA-TOLIMA (DPTAL) DPTAL,A,MARIQUITA,Tolima,ACTIVO
5001000,90007498211,MEDELLIN-ANTIOQUIA (MCPAL) MCPAL,A,MEDELLIN,Antioquia,ACTIVO
73449000,89070193341,MELGAR-TOLIMA (MCPAL) MCPAL,A,MELGAR,Tolima,ACTIVO
15455001,89180106981,MIRAFLORES-BOYACA (DPTAL ) DPTAL,A,MIRAFLORES,Boyaca,ACTIVO
19455000,,MIRANDA-CAUCA (MCPAL) MCPAL,A,MIRANDA,Cauca,ACTIVO
86001000,,MOCOA-PUTUMAYO (MCPAL) MCPAL,A,MOCOA,Putumayo,ACTIVO
13468000,890480643,MOMPOX-BOLIVAR (MCPAL) MCPAL,A,MOMPOS,Bolivar,ACTIVO
15469001,89180106981,MONIQUIRA-BOYACA (DPTAL ) DPTAL,A,MONIQUIRA,Boyaca,ACTIVO
23001000,80009673411,MONTERIA-CORDOBA (MCPAL) MCPAL,A,MONTERIA,Cordoba,ACTIVO
25473001,83003175701,MOSQUERA-CUNDINAMARCA (DPTAL) DPTAL,A,MOSQUERA,Cundinamarca,ACTIVO
86865000,8001029122,MUNICIPIO VALLE DEL GUAMUEZ DPTAL,A,VALLE DEL GUAMUEZ,Putumayo,ACTIVO
52480001,80011497331,NARIÑO-NARIÑO (DPTAL) DPTAL,A,NARINO,Narino,ACTIVO
41001000,89118000911,NEIVA-HUILA (MCPAL) MCPAL,A,NEIVA,Huila,ACTIVO
15491001,89180106981,NOBSA-BOYACA (DPTAL ) DPTAL,A,NOBSA,Boyaca,ACTIVO
54498000,89050110221,OCAÑA-NORTE DE SANTANDER (MCPAL) MCPAL,A,OCANA,Norte de Santander,ACTIVO
86320000,,ORITO-PUTUMAYO (MCPAL) MCPAL,A,ORITO,Putumayo,ACTIVO
25513000,89999947541,PACHO-CUNDINAMARCA (MCPAL) MCPAL,A,PACHO,Cundinamarca,ACTIVO
15516000,,PAIPA-BOYACA (MCPAL) MCPAL,A,PAIPA,Boyaca,ACTIVO
41524000,,PALERMO-HUILA (MPAL) MPAL,A,PALERMO,Huila,ACTIVO
76520000,80011485061,PALMIRA-VALLE (MCPAL) MCPAL,A,PALMIRA,Valle del Cauca,ACTIVO
54518000,80017921401,PAMPLONA-NORTE DE SANTANDER (MCPAL) MCPAL,A,PAMPLONA,Norte de Santander,ACTIVO
52001000,80022369651,PASTO-NARIÑO (MCPAL) MCPAL,A,PASTO,Narino,ACTIVO
19532000,89150219481,PATIA (EL BORDO)-CAUCA (MCPAL) MCPAL,A,PATIA,Cauca,ACTIVO
18256001,,PAUJIL-CAQUETA (DPTAL) DPTAL,A,EL PAUJIL,Caqueta,ACTIVO
134,816000558,PEREIRA-RISARALDA (MCPAL) MCPAL,A,PEREIRA,Risaralda,ACTIVO
66001000,816000558,PEREIRA-RISARALDA (MCPAL) MCPAL,A,PEREIRA,Risaralda,ACTIVO
68547000,89020538361,PIEDECUESTA-SANTANDER (MCPAL) MCPAL,A,PIEDECUESTA,Santander,ACTIVO
19548000,89150085661,PIENDAMO -CAUCA (MCPAL) MCPAL,A,PIENDAMO,Cauca,ACTIVO
41551000,89118007701,PITALITO-HUILA (MCPAL) MCPAL,A,PITALITO,Huila,ACTIVO
23555000,,PLANETA RICA-CORDOBA (MCPAL) MCPAL,A,PLANETA RICA,Cordoba,ACTIVO
47555000,89178005141,PLATO-MAGDALENA (MCPAL) MCPAL,A,PLATO,Magdalena,ACTIVO
19001000,89158000641,POPAYAN-CAUCA (MCPAL) MCPAL,A,POPAYAN,Cauca,ACTIVO
76563000,89138011501,PRADERA-VALLE (MCPAL) MCPAL,A,PRADERA,Valle del Cauca,ACTIVO
86568000,89120046131,PUERTO ASIS-PUTUMAYO (MCPAL) MCPAL,A,PUERTO ASIS,Putumayo,ACTIVO
5579000,80011470241,PUERTO BERRIO-ANTIOQUIA (MCPAL) MCPAL,A,PUERTO BERRIO,Antioquia,ACTIVO
15572000,89180046641,PUERTO BOYACA-BOYACA (MCPAL) MCPAL,A,PUERTO BOYACA,Boyaca,ACTIVO
8573000,80009438621,PUERTO COLOMBIA-ATLANTICO (MCPAL ) MCPAL,A,PUERTO COLOMBIA,Atlantico,ACTIVO
94001000,,PUERTO INIRIDA-GUAINIA (MCPAL) MCPAL,B,INIRIDA,Guainia,ACTIVO
19573000,,PUERTO TEJADA-CAUCA (MCPAL) MCPAL,A,PUERTO TEJADA,Cauca,ACTIVO
52585001,80011497331,PUPIALES-NARIÑO (DPTAL ) DPTAL,A,PUPIALES,Narino,ACTIVO
73585001,,PURIFICACION-TOLIMA (DPTAL ) DPTAL,A,PURIFICACION,Tolima,ACTIVO
63594000,89000061341,QUIMBAYA-QUINDIO (MCPAL) MCPAL,A,QUIMBAYA,Quindio,ACTIVO
15599001,89180106981,RAMIRIQUI-BOYACA (DPTAL) DPTAL,A,RAMIRIQUI,Boyaca,ACTIVO
50606001,80004763511,RESTREPO-META (DPTAL) DPTAL,A,RESTREPO,Meta,ACTIVO
25612001,83003175701,RICAURTE-CUNDINAMARCA (DPTAL) DPTAL,A,RICAURTE,Cundinamarca,ACTIVO
44001000,892115015,RIOHACHA-GUAJIRA (MCPAL) MCPAL,A,RIOHACHA,La Guajira,ACTIVO
5615000,89090731721,RIONEGRO-ANTIOQUIA (MCPAL) MCPAL,A,RIONEGRO,Antioquia,ACTIVO
17614000,89240003821,RIOSUCIO-CALDAS (MCPAL) MCPAL,A,RIOSUCIO,Caldas,ACTIVO
41615000,,RIVERA - HUILA (DPTAL) DPTAL,A,RIVERA,Huila,ACTIVO
76622000,,ROLDANILLO-VALLE (MCPAL) MCPAL,A,ROLDANILLO,Valle del Cauca,ACTIVO
8634001,80011510211,SABANAGRANDE -ATLANTICO (DPTAL ) DPTAL,A,SABANAGRANDE,Atlantico,ACTIVO
5631000,81100156011,SABANETA-ANTIOQUIA (MCPAL) MCPAL,A,SABANETA,Antioquia,ACTIVO
15632001,89180106981,SABOYA-BOYACA (DPTAL) DPTAL,A,SABOYA,Boyaca,ACTIVO
23660000,,SAHAGUN-CORDOBA (DPTAL) DPTAL,A,SAHAGUN,Cordoba,ACTIVO
17653000,89080113131,SALAMINA-CALDAS (MCPAL) MCPAL,A,SALAMINA,Caldas,ACTIVO
52678001,80011497331,SAMANIEGO-NARIÑO (DPTAL ) DPTAL,A,SAMANIEGO,Narino,ACTIVO
70670001,892280021,SAMPUES-SUCRE (DPTAL) DPTAL,A,SAMPUES,Sucre,ACTIVO
88001001,89240003821,SAN ANDRES ISLAS-SAN ANDRES Y PROVIDENCIA (DPTAL) DPTAL,A,"SAN ANDRES 1 Archipielago de San Andres,",Providencia,ACTIVO
68679000,11009492271,SAN GIL-SANTANDER (MCPAL) MCPAL,A,SAN GIL,Santander,ACTIVO
95001000,80010318021,SAN JOSE DEL GUAVIARE-GUAVIARE (MCPAL) MCPAL,A,SAN JOSE DEL GUAVIARE,Guaviare,ACTIVO
68689000,80009982961,SAN VICENTE DE CHUCURI-SANTANDER (MCPAL) MCPAL,A,SAN VICENTE DE CHUCURI,Santander,ACTIVO
18753001,,SAN VICENTE DEL CAGUAN -CAQUETA (DPTAL ) DPTAL,A,SAN VICENTE DEL CAGUAN,Caqueta,ACTIVO
52683001,52683001,80011497331 80011497331 SANDONA-NARIÑO (DPTAL ) SANDONA-NARIÑO (DPTAL ) DPTAL,A,SANDONA SANDONA,Narino,ACTIVO
47001000,89178000941,SANTA MARTA-MAGDALENA (MCPAL) MCPAL,A,SANTA MARTA,Magdalena,ACTIVO
66682000,89148003341,SANTA ROSA DE CABAL-RISARALDA (MCPAL) MCPAL,A,SANTA ROSA DE CABAL,Risaralda,ACTIVO
5686000,89098155461,SANTA ROSA DE OSOS-ANTIOQUIA (MCPAL) MCPAL,A,SANTA ROSA DE OSOS,Antioquia,ACTIVO
15693001,89180106981,SANTA ROSA DE VITERBO-BOYACA (DPTAL) DPTAL,A,SANTA ROSA DE VITERBO,Boyaca,ACTIVO
5042000,89090756911,SANTAFE DE ANTIOQUIA-ANTIOQUIA (MCPAL) MCPAL,A,SANTAFE DE ANTIOQUIA,Antioquia,ACTIVO
19698000,89150026921,SANTANDER DE QUILICHAO-CAUCA (MCPAL) MCPAL,A,SANTANDER DE QUILICHAO,Cauca,ACTIVO
81736000,80010279961,SARAVENA-ARAUCA (MCPAL) MCPAL,B,SARAVENA,Arauca,ACTIVO
76736000,80010052701,SEVILLA-VALLE (MCPAL) MCPAL,A,SEVILLA,Valle del Cauca,ACTIVO
70001000,80010406261,SINCELEJO-SUCRE (MCPAL) MCPAL,A,SINCELEJO,Sucre,ACTIVO
